	id_relation	lautre_noeud	type_relation	poids_relation	sens_relation
121	364831473	cuiller	0	2.5e-05	sortante
122	364831492	::&gt;66:14350918&gt;24:327069	0	2.5e-05	sortante
123	364831518	::&gt;66:14350918&gt;24:328314	0	2.5e-05	sortante
124	365001085	singe	0	2.5e-05	sortante
125	365001099	banane	0	2.5e-05	sortante
126	365001134	::&gt;66:73893&gt;24:14364054	0	2.5e-05	sortante
127	365207050	manifestation gastronomique	0	2.5e-05	sortante
128	365246454	routier	0	2.5e-05	sortante
129	365246469	steak frites	0	2.5e-05	sortante
130	365246504	::&gt;66:52706&gt;24:14381321	0	2.5e-05	sortante
131	365382314	animal herbivore	0	2.5e-05	sortante
132	365382364	::&gt;66:1088197&gt;24:14387837	0	2.5e-05	sortante
133	365413062	tortue de terre	0	2.5e-05	sortante
134	365413078	pissenlit	0	2.5e-05	sortante
135	365413114	::&gt;66:14388329&gt;24:14388332	0	2.5e-05	sortante
136	365413121	tortue	0	2.5e-05	sortante
137	365413156	::&gt;66:142277&gt;24:14388332	0	2.5e-05	sortante
138	365413186	tortue&gt;99719&gt;125352	0	2.5e-05	sortante
139	365413210	jardin	0	2.5e-05	sortante
140	365413228	::&gt;66:241312&gt;24:14388340	0	2.5e-05	sortante
141	365413252	::&gt;66:241312&gt;24:14388332	0	2.5e-05	sortante
142	365443441	hamburger	0	2.5e-05	sortante
143	365443464	fast-food	0	2.5e-05	sortante
144	365443482	::&gt;66:68439&gt;24:14389152	0	2.5e-05	sortante
145	365443507	::&gt;66:68439&gt;24:14389150	0	2.5e-05	sortante
146	367664889	::&gt;66:225916&gt;24:14469849	0	2.5e-05	sortante
147	367664918	::&gt;66:225916&gt;24:14474366	0	2.5e-05	sortante
148	367664844	nem	0	2.5e-05	sortante
149	367506812	::&gt;66:225916&gt;24:14474212	0	2.5e-05	sortante
150	367506774	ailes de poulet	0	2.5e-05	sortante
151	367506722	::&gt;66:225916&gt;24:326928	0	2.5e-05	sortante
152	367506703	doigts	0	2.5e-05	sortante
153	367506674	::&gt;66:225916&gt;24:14435002	0	2.5e-05	sortante
154	367506652	::&gt;66:225916&gt;24:317035	0	2.5e-05	sortante
155	367506618	personne&gt;24956	0	2.5e-05	sortante
156	365851324	enfant	0	2.5e-05	sortante
157	365851331	yaourt	0	2.5e-05	sortante
158	365851362	::&gt;66:124094&gt;24:328314	0	2.5e-05	sortante
159	365851388	::&gt;66:124094&gt;24:14400366	0	2.5e-05	sortante
160	367360223	::&gt;66:124094&gt;24:14472695	0	2.5e-05	sortante
161	367360148	sucrerie	0	2.5e-05	sortante
162	367359713	::&gt;66:124094&gt;24:14472657	0	2.5e-05	sortante
163	367360188	sucreries	0	2.5e-05	sortante
164	367360182	::&gt;66:124094&gt;24:14472692	0	2.5e-05	sortante
