	id_relation	lautre_noeud	type_relation	poids_relation	sens_relation
0	87854259	papouiller	0	0.9117647058823529	sortante
1	87786275	papouille	0	1.0	sortante
2	356987912	faire des papouilles	0	0.029411764705882353	entrante
